"fzg_typ","origin","messwerttyp","Einrichtpunkte"
"S214","Bodyshop","6-7_A2R.F","1"
"S214","Bodyshop","6-7_A2R.G","1"
"S214","Bodyshop","FE_ut_Finish_R.X","1"
"S214","Bodyshop","FE_ob_Finish_R.Z","1"
"S214","Bodyshop","FE_ob_Finish_L.Z","1"
"S214","Bodyshop","FE_ut_Finish_L.X","1"
"S214","Assembly","6-7_A1L.F","1"
"S214","Assembly","6-7_A1L.G","1"
"S214","Assembly","6-7_A1R.F","1"
"S214","Assembly","6-7_A1R.G","1"
"S214","Assembly","6-7_A2L.F","1"
"S214","Assembly","6-7_A2L.G","1"
"S214","Assembly","6-7_A2R.F","1"
"S214","Assembly","6-7_A2R.G","1"
"S214","Assembly","5-6_A1L.F","1"
"S214","Assembly","5-6_A1L.G","1"
"S214","Assembly","5-6_A1R.F","1"
"S214","Assembly","5-6_A1R.G","1"
"S214","Assembly","5-6_A2L.F","1"
"S214","Assembly","5-6_A2L.G","1"
"S214","Assembly","5-6_A2R.F","1"
"S214","Assembly","5-6_A2R.G","1"
"S214","Assembly","5-6_A4L.F","1"
"S214","Assembly","5-6_A4R.F","1"
"S214","Assembly","1-5_A1R.F","1"
"S214","Assembly","1-5_A1R.G","1"
"S214","Assembly","1-5_A1L.F","1"
"S214","Assembly","1-5_A1L.G","1"
"S214","Assembly","1-5_A2L.G","1"
"S214","Assembly","1-5_A2L.F","1"
"S214","Assembly","1-5_A2R.G","1"
"S214","Assembly","1-5_A2R.F","1"
"S214","Assembly","1-5_A4L.G","1"
"S214","Assembly","1-5_A4L.F","1"
"S214","Assembly","1-5_A4R.G","1"
"S214","Assembly","1-5_A4R.F","1"
"S214","Assembly","7-8_A1L.F","1"
"S214","Assembly","7-8_A1L.G","1"
"S214","Assembly","7-8_A1R.F","1"
"S214","Assembly","7-8_A1R.G","1"
"S214","Assembly","7-8_A2L.F","1"
"S214","Assembly","7-8_A2L.G","1"
"S214","Assembly","7-8_A2R.F","1"
"S214","Assembly","7-8_A2R.G","1"
"S214","Assembly","7-8_C1L.F","1"
"S214","Assembly","7-8_C1L.G","1"
"S214","Assembly","7-8_C1R.F","1"
"S214","Assembly","7-8_C1R.G","1"
"S214","Assembly","1-10_A2L.F","1"
"S214","Assembly","1-10_A2R.F","1"
"S214","Assembly","1-10_A2L.G","1"
"S214","Assembly","1-10_A2R.G","1"
"S214","Assembly","1-10_PR.F","0"
"S214","Assembly","1-10_PR.G","0"
"S214","Assembly","1-10_PL.F","0"
"S214","Assembly","1-10_PL.G","0"
"V223","Assembly","1-4_2L.F","1"
"V223","Bodyshop","1-4_2L.F","1"
"V223","Bodyshop","1-4_2L.G","1"
"V223","Assembly","1-4_2L.G","1"
"V223","Assembly","1-4_2.S","1"
"V223","Bodyshop","1-4_2R.F","1"
"V223","Assembly","1-4_2R.F","1"
"V223","Bodyshop","1-4_2R.G","1"
"V223","Assembly","1-4_2R.G","1"
"V223","Bodyshop","1-4_4L.F","1"
"V223","Assembly","1-4_4L.F","1"
"V223","Bodyshop","1-4_4L.G","1"
"V223","Assembly","1-4_4L.G","1"
"V223","Bodyshop","1-4_4R.F","1"
"V223","Assembly","1-4_4R.F","1"
"V223","Bodyshop","1-4_4R.G","1"
"V223","Assembly","1-4_4R.G","1"
"V223","Assembly","1-4_4.S","1"
"V223","Bodyshop","1-4_6L.F","1"
"V223","Assembly","1-4_6L.F","1"
"V223","Bodyshop","1-4_6L.G","1"
"V223","Assembly","1-4_6L.G","1"
"V223","Bodyshop","1-4_6R.F","1"
"V223","Assembly","1-4_6R.F","1"
"V223","Bodyshop","1-4_6R.G","1"
"V223","Assembly","1-4_6R.G","1"
"V223","Assembly","1-4_6-4L.K","1"
"V223","Assembly","1-4_6-4R.K","1"
"V223","Assembly","1-4_6.S","1"
"V223","Assembly","1-5_5-1L.K","1"
"V223","Assembly","1-5_5-1R.K","1"
"V223","Bodyshop","1-5_1L.F","1"
"V223","Bodyshop","1-5_1L.G","1"
"V223","Assembly","1-5_1L.F","1"
"V223","Assembly","1-5_1L.G","1"
"V223","Assembly","1-5_1R.G","1"
"V223","Bodyshop","1-5_1R.F","1"
"V223","Assembly","1-5_1R.F","1"
"V223","Bodyshop","1-5_1R.G","1"
"V223","Bodyshop","1-5_5L.F","1"
"V223","Assembly","1-5_5L.F","1"
"V223","Bodyshop","1-5_5L.G","1"
"V223","Assembly","1-5_5L.G","1"
"V223","Assembly","1-5_5R.G","1"
"V223","Bodyshop","1-5_5R.F","1"
"V223","Assembly","1-5_5R.F","1"
"V223","Bodyshop","1-5_5R.G","1"
"V223","Bodyshop","1-6_0R.GZ","0"
"V223","Bodyshop","1-6_0L.GZ","0"
"V223","Bodyshop","1-7_31L.GY","0"
"V223","Bodyshop","1-7_31R.GY","0"
"V223","Bodyshop","1-7_32L.GY","0"
"V223","Bodyshop","1-7_32R.GY","0"
"V223","Assembly","5-6_3-1L.K","1"
"V223","Assembly","5-6_3-1R.K","1"
"V223","Bodyshop","5-6_1L.F","1"
"V223","Assembly","5-6_1L.F","1"
"V223","Bodyshop","5-6_1L.G","1"
"V223","Assembly","5-6_1L.G","1"
"V223","Bodyshop","5-6_1R.F","1"
"V223","Assembly","5-6_1R.F","1"
"V223","Bodyshop","5-6_1R.G","1"
"V223","Assembly","5-6_1R.G","1"
"V223","Bodyshop","5-6_3L.F","1"
"V223","Assembly","5-6_3L.F","1"
"V223","Bodyshop","5-6_3L.G","1"
"V223","Assembly","5-6_3L.G","1"
"V223","Assembly","5-6_3R.G","1"
"V223","Bodyshop","5-6_3R.F","1"
"V223","Assembly","5-6_3R.F","1"
"V223","Bodyshop","5-6_3R.G","1"
"V223","Bodyshop","5-6_4L.F","1"
"V223","Bodyshop","5-6_4R.F","1"
"V223","Bodyshop","5-6_4L.G","0"
"V223","Bodyshop","5-6_4R.G","0"
"V223","Assembly","5-6_4L.F","1"
"V223","Assembly","5-6_4R.F","1"
"V223","Assembly","5-6_4L.G","1"
"V223","Assembly","5-6_4R.G","1"
"V223","Assembly","6-7_1L.F","1"
"V223","Bodyshop","6-7_1L.G","1"
"V223","Assembly","6-7_1L.G","1"
"V223","Assembly","6-7_1R.G","1"
"V223","Bodyshop","6-7_1R.F","1"
"V223","Assembly","6-7_1R.F","1"
"V223","Bodyshop","6-7_1R.G","1"
"V223","Assembly","6-7_3-1L.K","1"
"V223","Assembly","6-7_3-1R.K","1"
"V223","Bodyshop","6-7_3L.F","1"
"V223","Assembly","6-7_3L.F","1"
"V223","Bodyshop","6-7_3L.G","1"
"V223","Assembly","6-7_3L.G","1"
"V223","Assembly","6-7_3R.G","1"
"V223","Bodyshop","6-7_3R.F","1"
"V223","Assembly","6-7_3R.F","1"
"V223","Bodyshop","6-7_3R.G","1"
"V223","Bodyshop","7-8_2L.F","1"
"V223","Assembly","7-8_2L.F","1"
"V223","Bodyshop","7-8_2L.G","1"
"V223","Assembly","7-8_2L.G","1"
"V223","Bodyshop","7-8_2R.F","1"
"V223","Assembly","7-8_2R.F","1"
"V223","Bodyshop","7-8_2R.G","1"
"V223","Assembly","7-8_2R.G","1"
"V223","Assembly","7-8_2.S","1"
"V223","Bodyshop","7-8_9L.F","1"
"V223","Assembly","7-8_9L.F","1"
"V223","Bodyshop","7-8_9L.G","1"
"V223","Assembly","7-8_9L.G","1"
"V223","Bodyshop","7-8_9R.F","1"
"V223","Assembly","7-8_9R.F","1"
"V223","Assembly","7-8_9R.G","1"
"V223","Bodyshop","7-8_9R.G","1"
"V223","Assembly","7-8_9-2R.K","1"
"V223","Assembly","7-8_9-2L.K","1"
"V223","Bodyshop","1-5_11L.F","0"
"V297","Assembly","1-10_2L.F","1"
"V297","Assembly","1-10_2R.F","1"
"V223","Bodyshop","1-5_11L.G","0"
"V297","Assembly","1-10_2L.G","1"
"V297","Assembly","1-10_2R.G","1"
"V297","Assembly","1-10_2.S","1"
"V223","Bodyshop","1-5_11R.F","0"
"V223","Bodyshop","1-5_11R.G","0"
"V223","Bodyshop","1-5_14L.F","0"
"V297","Assembly","1-10_9L.F","1"
"V223","Bodyshop","1-5_14L.G","0"
